state,month,births,race
Florida,2,3434,births_nhblack
Florida,3,3488,births_nhblack
Florida,4,3187,births_nhblack
Florida,5,3272,births_nhblack
Florida,6,3290,births_nhblack
Florida,7,3650,births_nhblack
Florida,8,3840,births_nhblack
Florida,9,3813,births_nhblack
Florida,10,3864,births_nhblack
Florida,11,3578,births_nhblack
Florida,12,3882,births_nhblack
Georgia,1,3364,births_nhblack
Georgia,2,3131,births_nhblack
Georgia,3,3193,births_nhblack
Georgia,4,3014,births_nhblack
Georgia,5,3102,births_nhblack
Georgia,6,3131,births_nhblack
Georgia,7,3517,births_nhblack
Georgia,8,3572,births_nhblack
Georgia,9,3252,births_nhblack
Georgia,10,3158,births_nhblack
Georgia,11,3209,births_nhblack
Georgia,12,3451,births_nhblack
Hawaii,1,20,births_nhblack
Hawaii,2,24,births_nhblack
Hawaii,3,29,births_nhblack
Hawaii,4,26,births_nhblack
Hawaii,5,21,births_nhblack
Hawaii,6,33,births_nhblack
Hawaii,7,21,births_nhblack
Hawaii,8,22,births_nhblack
Hawaii,9,23,births_nhblack
Hawaii,10,21,births_nhblack
Hawaii,11,22,births_nhblack
Hawaii,12,33,births_nhblack
Idaho,1,25,births_nhblack
Idaho,2,30,births_nhblack
Idaho,3,25,births_nhblack
Idaho,4,27,births_nhblack
Idaho,5,28,births_nhblack
Idaho,6,24,births_nhblack
Idaho,7,37,births_nhblack
Idaho,8,21,births_nhblack
Idaho,9,22,births_nhblack
Idaho,10,26,births_nhblack
Idaho,11,27,births_nhblack
Idaho,12,25,births_nhblack
Illinois,1,1550,births_nhblack
Illinois,2,1348,births_nhblack
Illinois,3,1424,births_nhblack
Illinois,4,1371,births_nhblack
Illinois,5,1431,births_nhblack
Illinois,6,1426,births_nhblack
Illinois,7,1519,births_nhblack
Illinois,8,1475,births_nhblack
Illinois,9,1439,births_nhblack
Illinois,10,1370,births_nhblack
Illinois,11,1403,births_nhblack
Illinois,12,1422,births_nhblack
Indiana,1,872,births_nhblack
Indiana,2,799,births_nhblack
Indiana,3,814,births_nhblack
Indiana,4,801,births_nhblack
Indiana,5,821,births_nhblack
Indiana,6,802,births_nhblack
Indiana,7,862,births_nhblack
Indiana,8,935,births_nhblack
Indiana,9,840,births_nhblack
Indiana,10,811,births_nhblack
Indiana,11,816,births_nhblack
Indiana,12,860,births_nhblack
Iowa,1,231,births_nhblack
Iowa,2,200,births_nhblack
Iowa,3,238,births_nhblack
Iowa,4,196,births_nhblack
Iowa,5,188,births_nhblack
Iowa,6,225,births_nhblack
Iowa,7,225,births_nhblack
Iowa,8,270,births_nhblack
Iowa,9,222,births_nhblack
Iowa,10,221,births_nhblack
Iowa,11,239,births_nhblack
Iowa,12,238,births_nhblack
Kansas,1,159,births_nhblack
Kansas,2,171,births_nhblack
Kansas,3,181,births_nhblack
Kansas,4,179,births_nhblack
Kansas,5,154,births_nhblack
Kansas,6,144,births_nhblack
Kansas,7,190,births_nhblack
Kansas,8,183,births_nhblack
Kansas,9,191,births_nhblack
Kansas,10,187,births_nhblack
Kansas,11,165,births_nhblack
Kansas,12,182,births_nhblack
Kentucky,1,436,births_nhblack
Kentucky,2,395,births_nhblack
Kentucky,3,379,births_nhblack
Kentucky,4,364,births_nhblack
Kentucky,5,389,births_nhblack
Kentucky,6,391,births_nhblack
Kentucky,7,406,births_nhblack
Kentucky,8,443,births_nhblack
Kentucky,9,407,births_nhblack
Kentucky,10,405,births_nhblack
Kentucky,11,387,births_nhblack
Kentucky,12,399,births_nhblack
Louisiana,1,1557,births_nhblack
Louisiana,2,1479,births_nhblack
Louisiana,3,1468,births_nhblack
Louisiana,4,1395,births_nhblack
Louisiana,5,1351,births_nhblack
Louisiana,6,1453,births_nhblack
Louisiana,7,1645,births_nhblack
Louisiana,8,1657,births_nhblack
Louisiana,9,1577,births_nhblack
Louisiana,10,1596,births_nhblack
Louisiana,11,1501,births_nhblack
Louisiana,12,1224,births_nhblack
Maine,1,71,births_nhblack
Maine,2,55,births_nhblack
Maine,3,76,births_nhblack
Maine,4,54,births_nhblack
Maine,5,70,births_nhblack
Maine,6,55,births_nhblack
Maine,7,66,births_nhblack
Maine,8,61,births_nhblack
Maine,9,62,births_nhblack
Maine,10,67,births_nhblack
Maine,11,91,births_nhblack
Maine,12,65,births_nhblack
Maryland,1,1610,births_nhblack
Maryland,2,1378,births_nhblack
Maryland,3,1510,births_nhblack
Maryland,4,1404,births_nhblack
Maryland,5,1494,births_nhblack
Maryland,6,1440,births_nhblack
Maryland,7,1677,births_nhblack
Maryland,8,1618,births_nhblack
Maryland,9,1530,births_nhblack
Maryland,10,1521,births_nhblack
Maryland,11,1443,births_nhblack
Maryland,12,1503,births_nhblack
Massachusetts,1,637,births_nhblack
Massachusetts,2,617,births_nhblack
Massachusetts,3,612,births_nhblack
Massachusetts,4,580,births_nhblack
Massachusetts,5,668,births_nhblack
Massachusetts,6,647,births_nhblack
Massachusetts,7,677,births_nhblack
Massachusetts,8,644,births_nhblack
Massachusetts,9,626,births_nhblack
Massachusetts,10,672,births_nhblack
Massachusetts,11,660,births_nhblack
Massachusetts,12,625,births_nhblack
Michigan,1,1315,births_nhblack
Michigan,2,1273,births_nhblack
Michigan,3,1337,births_nhblack
Michigan,4,1312,births_nhblack
Michigan,5,1349,births_nhblack
Michigan,6,1260,births_nhblack
Michigan,7,1300,births_nhblack
Michigan,8,1350,births_nhblack
Michigan,9,1259,births_nhblack
Michigan,10,1171,births_nhblack
Michigan,11,1218,births_nhblack
Michigan,12,1242,births_nhblack
Minnesota,1,554,births_nhblack
Minnesota,2,533,births_nhblack
Minnesota,3,600,births_nhblack
Minnesota,4,598,births_nhblack
Minnesota,5,594,births_nhblack
Minnesota,6,542,births_nhblack
Minnesota,7,632,births_nhblack
Minnesota,8,606,births_nhblack
Minnesota,9,637,births_nhblack
Minnesota,10,622,births_nhblack
Minnesota,11,640,births_nhblack
Minnesota,12,654,births_nhblack
Mississippi,1,1091,births_nhblack
Mississippi,2,1083,births_nhblack
Mississippi,3,1066,births_nhblack
Mississippi,4,904,births_nhblack
Mississippi,5,993,births_nhblack
Mississippi,6,1010,births_nhblack
Mississippi,7,1193,births_nhblack
Mississippi,8,1098,births_nhblack
Mississippi,9,1077,births_nhblack
Mississippi,10,1101,births_nhblack
Mississippi,11,1050,births_nhblack
Mississippi,12,1124,births_nhblack
Missouri,1,722,births_nhblack
Missouri,2,654,births_nhblack
Missouri,3,646,births_nhblack
Missouri,4,653,births_nhblack
Missouri,5,690,births_nhblack
Missouri,6,648,births_nhblack
Missouri,7,676,births_nhblack
Missouri,8,714,births_nhblack
Missouri,9,747,births_nhblack
Missouri,10,715,births_nhblack
Missouri,11,627,births_nhblack
Missouri,12,694,births_nhblack
Nebraska,1,129,births_nhblack
Nebraska,2,105,births_nhblack
Nebraska,3,122,births_nhblack
Nebraska,4,135,births_nhblack
Nebraska,5,124,births_nhblack
Nebraska,6,121,births_nhblack
Nebraska,7,131,births_nhblack
Nebraska,8,124,births_nhblack
Nebraska,9,111,births_nhblack
Nebraska,10,142,births_nhblack
Nebraska,11,111,births_nhblack
Nebraska,12,104,births_nhblack
Nevada,1,344,births_nhblack
Nevada,2,367,births_nhblack
Nevada,3,313,births_nhblack
Nevada,4,310,births_nhblack
Nevada,5,325,births_nhblack
Nevada,6,348,births_nhblack
Nevada,7,325,births_nhblack
Nevada,8,355,births_nhblack
Nevada,9,341,births_nhblack
Nevada,10,327,births_nhblack
Nevada,11,305,births_nhblack
Nevada,12,326,births_nhblack
New Hampshire,1,23,births_nhblack
New Hampshire,2,20,births_nhblack
New Hampshire,3,14,births_nhblack
New Hampshire,4,17,births_nhblack
New Hampshire,5,27,births_nhblack
New Hampshire,6,23,births_nhblack
New Hampshire,7,27,births_nhblack
New Hampshire,8,22,births_nhblack
New Hampshire,9,27,births_nhblack
New Hampshire,10,17,births_nhblack
New Hampshire,11,21,births_nhblack
New Hampshire,12,20,births_nhblack
New Jersey,1,976,births_nhblack
New Jersey,2,971,births_nhblack
New Jersey,3,955,births_nhblack
New Jersey,4,895,births_nhblack
New Jersey,5,949,births_nhblack
New Jersey,6,850,births_nhblack
New Jersey,7,954,births_nhblack
New Jersey,8,994,births_nhblack
New Jersey,9,971,births_nhblack
New Jersey,10,942,births_nhblack
New Jersey,11,883,births_nhblack
New Jersey,12,992,births_nhblack
New Mexico,1,26,births_nhblack
New Mexico,2,20,births_nhblack
New Mexico,3,33,births_nhblack
New Mexico,4,36,births_nhblack
New Mexico,5,35,births_nhblack
New Mexico,6,33,births_nhblack
New Mexico,7,34,births_nhblack
New Mexico,8,28,births_nhblack
New Mexico,9,37,births_nhblack
New Mexico,10,24,births_nhblack
New Mexico,11,19,births_nhblack
New Mexico,12,27,births_nhblack
New York,1,2057,births_nhblack
New York,2,2091,births_nhblack
New York,3,2079,births_nhblack
New York,4,1923,births_nhblack
New York,5,2188,births_nhblack
New York,6,2005,births_nhblack
New York,7,2244,births_nhblack
New York,8,2191,births_nhblack
New York,9,2102,births_nhblack
New York,10,2134,births_nhblack
New York,11,2145,births_nhblack
New York,12,2108,births_nhblack
North Carolina,1,2093,births_nhblack
North Carolina,2,1971,births_nhblack
North Carolina,3,2034,births_nhblack
North Carolina,4,1876,births_nhblack
North Carolina,5,2028,births_nhblack
North Carolina,6,1946,births_nhblack
North Carolina,7,2271,births_nhblack
North Carolina,8,2161,births_nhblack
North Carolina,9,2048,births_nhblack
North Carolina,10,2026,births_nhblack
North Carolina,11,2077,births_nhblack
North Carolina,12,2208,births_nhblack
North Dakota,1,48,births_nhblack
North Dakota,2,41,births_nhblack
North Dakota,3,56,births_nhblack
North Dakota,4,43,births_nhblack
North Dakota,5,45,births_nhblack
North Dakota,6,47,births_nhblack
North Dakota,7,42,births_nhblack
North Dakota,8,42,births_nhblack
North Dakota,9,48,births_nhblack
North Dakota,10,49,births_nhblack
North Dakota,11,46,births_nhblack
North Dakota,12,43,births_nhblack
Ohio,1,1663,births_nhblack
Ohio,2,1589,births_nhblack
Ohio,3,1654,births_nhblack
Ohio,4,1512,births_nhblack
Ohio,5,1715,births_nhblack
Ohio,6,1586,births_nhblack
Ohio,7,1696,births_nhblack
Ohio,8,1715,births_nhblack
Ohio,9,1617,births_nhblack
Ohio,10,1631,births_nhblack
Ohio,11,1553,births_nhblack
Ohio,12,1655,births_nhblack
Oklahoma,1,297,births_nhblack
Oklahoma,2,274,births_nhblack
Oklahoma,3,278,births_nhblack
Oklahoma,4,265,births_nhblack
Oklahoma,5,270,births_nhblack
Oklahoma,6,257,births_nhblack
Oklahoma,7,331,births_nhblack
Oklahoma,8,299,births_nhblack
Oklahoma,9,270,births_nhblack
Oklahoma,10,286,births_nhblack
Oklahoma,11,258,births_nhblack
Oklahoma,12,277,births_nhblack
Oregon,1,84,births_nhblack
Oregon,2,78,births_nhblack
Oregon,3,84,births_nhblack
Oregon,4,93,births_nhblack
Oregon,5,93,births_nhblack
Oregon,6,90,births_nhblack
Oregon,7,93,births_nhblack
Oregon,8,118,births_nhblack
Oregon,9,94,births_nhblack
Oregon,10,88,births_nhblack
Oregon,11,91,births_nhblack
Oregon,12,73,births_nhblack
Pennsylvania,1,1345,births_nhblack
Pennsylvania,2,1168,births_nhblack
Pennsylvania,3,1318,births_nhblack
Pennsylvania,4,1202,births_nhblack
Pennsylvania,5,1266,births_nhblack
Pennsylvania,6,1191,births_nhblack
Pennsylvania,7,1314,births_nhblack
Pennsylvania,8,1427,births_nhblack
Pennsylvania,9,1147,births_nhblack
Pennsylvania,10,1194,births_nhblack
Pennsylvania,11,1158,births_nhblack
Pennsylvania,12,1249,births_nhblack
Rhode Island,1,70,births_nhblack
Rhode Island,2,53,births_nhblack
Rhode Island,3,53,births_nhblack
Rhode Island,4,58,births_nhblack
Rhode Island,5,56,births_nhblack
Rhode Island,6,56,births_nhblack
Rhode Island,7,51,births_nhblack
Rhode Island,8,53,births_nhblack
Rhode Island,9,53,births_nhblack
Rhode Island,10,80,births_nhblack
Rhode Island,11,64,births_nhblack
Rhode Island,12,51,births_nhblack
South Carolina,1,1280,births_nhblack
South Carolina,2,1062,births_nhblack
South Carolina,3,1212,births_nhblack
South Carolina,4,1046,births_nhblack
South Carolina,5,1163,births_nhblack
South Carolina,6,1162,births_nhblack
South Carolina,7,1301,births_nhblack
South Carolina,8,1338,births_nhblack
South Carolina,9,1200,births_nhblack
South Carolina,10,1167,births_nhblack
South Carolina,11,1140,births_nhblack
South Carolina,12,1272,births_nhblack
South Dakota,1,22,births_nhblack
South Dakota,2,26,births_nhblack
South Dakota,3,42,births_nhblack
South Dakota,4,32,births_nhblack
South Dakota,5,27,births_nhblack
South Dakota,6,22,births_nhblack
South Dakota,7,31,births_nhblack
South Dakota,8,38,births_nhblack
South Dakota,9,34,births_nhblack
South Dakota,10,34,births_nhblack
South Dakota,11,21,births_nhblack
South Dakota,12,32,births_nhblack
Tennessee,1,1113,births_nhblack
Tennessee,2,1031,births_nhblack
Tennessee,3,1094,births_nhblack
Tennessee,4,1007,births_nhblack
Tennessee,5,1088,births_nhblack
Tennessee,6,1090,births_nhblack
Tennessee,7,1156,births_nhblack
Tennessee,8,1137,births_nhblack
Tennessee,9,1090,births_nhblack
Tennessee,10,1028,births_nhblack
Tennessee,11,995,births_nhblack
Tennessee,12,1127,births_nhblack
Texas,1,3765,births_nhblack
Texas,2,3560,births_nhblack
Texas,3,3650,births_nhblack
Texas,4,3392,births_nhblack
Texas,5,3526,births_nhblack
Texas,6,3587,births_nhblack
Texas,7,3986,births_nhblack
Texas,8,3952,births_nhblack
Texas,9,3680,births_nhblack
Texas,10,3863,births_nhblack
Texas,11,3540,births_nhblack
Texas,12,3729,births_nhblack
Utah,1,54,births_nhblack
Utah,2,55,births_nhblack
Utah,3,53,births_nhblack
Utah,4,48,births_nhblack
Utah,5,50,births_nhblack
Utah,6,52,births_nhblack
Utah,7,79,births_nhblack
Utah,8,62,births_nhblack
Utah,9,45,births_nhblack
Utah,10,53,births_nhblack
Utah,11,49,births_nhblack
Utah,12,64,births_nhblack
Vermont,1,15,births_nhblack
Vermont,3,17,births_nhblack
Vermont,5,10,births_nhblack
Vermont,6,15,births_nhblack
Vermont,7,10,births_nhblack
Vermont,8,16,births_nhblack
Vermont,9,10,births_nhblack
Vermont,11,12,births_nhblack
Virginia,1,1502,births_nhblack
Virginia,2,1368,births_nhblack
Virginia,3,1462,births_nhblack
Virginia,4,1364,births_nhblack
Virginia,5,1490,births_nhblack
Virginia,6,1361,births_nhblack
Virginia,7,1483,births_nhblack
Virginia,8,1534,births_nhblack
Virginia,9,1464,births_nhblack
Virginia,10,1421,births_nhblack
Virginia,11,1295,births_nhblack
Virginia,12,1076,births_nhblack
Washington,1,321,births_nhblack
Washington,2,290,births_nhblack
Washington,3,334,births_nhblack
Washington,4,273,births_nhblack
Washington,5,303,births_nhblack
Washington,6,285,births_nhblack
Washington,7,326,births_nhblack
Washington,8,348,births_nhblack
Washington,9,332,births_nhblack
Washington,10,325,births_nhblack
Washington,11,334,births_nhblack
Washington,12,277,births_nhblack
West Virginia,1,44,births_nhblack
West Virginia,2,50,births_nhblack
West Virginia,3,44,births_nhblack
West Virginia,4,51,births_nhblack
West Virginia,5,51,births_nhblack
West Virginia,6,47,births_nhblack
West Virginia,7,49,births_nhblack
West Virginia,8,52,births_nhblack
West Virginia,9,45,births_nhblack
West Virginia,10,50,births_nhblack
West Virginia,11,47,births_nhblack
West Virginia,12,49,births_nhblack
Wisconsin,1,444,births_nhblack
Wisconsin,2,470,births_nhblack
Wisconsin,3,482,births_nhblack
Wisconsin,4,415,births_nhblack
Wisconsin,5,448,births_nhblack
Wisconsin,6,441,births_nhblack
Wisconsin,7,467,births_nhblack
Wisconsin,8,485,births_nhblack
Wisconsin,9,453,births_nhblack
Wisconsin,10,455,births_nhblack
Wisconsin,11,425,births_nhblack
Wisconsin,12,467,births_nhblack
